Rank,University,Degree,Time to Complete,Estimated Total Cost (USD),Estimated Cost per Year (USD),Thesis Required?,Prestige,Value Score,GRE Required?,School-Specific Scholarship,Notes
1,Georgia Institute of Technology,MS Analytics (Computational Data Analytics),2-3 years,"12,350","4,000-6,000",No (Capstone),★★★★★ Elite,A+,No,N/A,"Excellent ROI, internationally recognized, rigorous curriculum"
2,University of Texas at Austin,MS Data Science,1.5-3 years,"10,000-11,000","4,000-7,000",No,★★★★★ Elite,A+,No,N/A,"Exceptional value, highly selective admissions"
3,University of Colorado Boulder,MS Data Science,1.5-3 years,"15,750","5,000-8,000",No,★★★★☆ High,A,No,N/A,"Flexible admissions, same tuition regardless of residency"
4,University of Michigan,Master of Applied Data Science,1.5-3 years,"49,000-55,000","18,000-27,000",Capstone,★★★★★ Elite,B+,No,Limited Merit,"Outstanding alumni network and employer recognition"
5,University of Illinois Urbana-Champaign,Master of Computer Science in Data Science,1-3 years,"21,000-25,000","8,000-12,000",No,★★★★★ Elite,A-,No,N/A,"Top-ranked computer science program"
6,University of Georgia,MS Applied Data Science,2 years,"20,200","10,100",Capstone,★★★★☆ High,A-,No,N/A,"Excellent affordability from an R1 university"
7,Arizona State University,MS Data Science Analytics and Engineering,2-3 years,"33,000-38,000","12,000-16,000",Applied Project,★★★★☆ High,B,No,Limited Merit,"Excellent online infrastructure"
8,Purdue University,MS Applied Data Analytics,2 years,"25,000-30,000","12,000-15,000",No,★★★★☆ High,B+,Usually No,Limited Merit,"Strong engineering reputation"
9,Drexel University,MS Data Science,2-3 years,"55,000-65,000","22,000-30,000",Capstone,★★★★☆ High,C+,No,Possible Merit,"Excellent program but comparatively expensive"
10,Bellevue University,MS Data Science,1.5-2 years,"23,000-27,000","12,000-15,000",Capstone,★★★☆☆ Good,B,No,Small Merit,"Flexible and career-oriented"
